player,team,pos,gp,mpg,fg_pct,fga,ft_pct,fta,tpm,pts,reb,ast,stl,blk,tov,adp,htag_rank,htag_total
Svi Mykhailiuk,UTA,"SG,SF",40.0,17.1,0.437,6.0,0.842,0.6,1.5,7.2,1.9,1.5,0.4,0.1,0.9,,315.0,-5.62
Cam Whitmore,CLE,"SF,PF",50.0,14.4,0.447,7.1,0.748,1.3,1.0,8.3,2.6,0.8,0.6,0.3,0.8,,316.0,-5.65
Jordan Clarkson,NY,"PG,SG",68.0,16.7,0.43,7.7,0.809,1.8,1.2,9.2,1.8,1.8,0.5,0.1,1.1,,317.0,-5.65
Rasheer Fleming,PHO,PF,69.0,19.1,0.404,6.2,0.557,1.0,1.3,6.8,3.6,0.5,0.6,0.6,0.8,,318.0,-5.68
Clint Capela,HOU,C,55.0,12.4,0.543,3.7,0.558,1.0,0.0,4.6,4.9,0.7,0.4,0.7,0.5,,319.0,-5.69
Will Riley,WAS,"SF,PF",68.0,17.4,0.439,6.7,0.799,1.9,0.8,8.2,2.3,1.6,0.6,0.1,1.0,,320.0,-5.69
Ben Sheppard,IND,"SG,SF",64.0,18.1,0.427,4.7,0.815,0.5,1.1,5.5,2.6,1.4,0.5,0.1,0.4,,321.0,-5.7
Trey Lyles,MIN,"PF,C",60.0,16.4,0.42,4.6,0.704,1.0,1.0,5.5,3.9,1.0,0.5,0.3,0.5,,322.0,-5.73
Daeqwon Plowden,SAC,"SF,PF",30.0,16.4,0.447,5.5,0.87,0.9,1.3,7.0,2.0,0.8,0.4,0.1,0.5,,323.0,-5.73
Dailyn Swain,CHI,"SG,SF,PF",50.0,16.1,0.481,4.5,0.806,2.1,0.3,6.3,2.8,1.3,0.6,0.1,1.0,,324.0,-5.81
Buddy Hield,ATL,"SG,SF",44.0,13.2,0.423,5.5,0.82,0.5,1.4,6.5,1.9,1.0,0.5,0.2,0.7,,325.0,-5.82
Cameron Carr,LAL,"SG,SF",68.0,15.4,0.474,4.6,0.798,1.7,0.8,6.5,2.0,0.9,0.3,0.5,0.8,,326.0,-5.85
Oso Ighodaro,PHO,C,72.0,15.1,0.635,3.0,0.494,0.9,0.0,4.2,3.4,1.4,0.5,0.5,0.8,,327.0,-5.91
Patrick Williams,CHI,PF,70.0,18.4,0.384,6.1,0.719,1.0,1.2,6.5,2.8,1.4,0.6,0.4,1.0,,328.0,-5.94
Baylor Scheierman,BOS,SF,70.0,15.0,0.43,3.7,0.861,0.4,1.0,4.5,2.8,1.3,0.5,0.1,0.5,,329.0,-6.02
Justin Edwards,PHI,"SF,PF",60.0,14.1,0.451,4.7,0.754,0.6,0.9,5.6,1.6,1.0,0.7,0.2,0.6,,330.0,-6.03
Moussa Cisse,DAL,C,44.0,12.1,0.574,2.7,0.471,1.9,0.0,3.9,5.0,0.2,0.4,1.0,0.7,,331.0,-6.05
Quenton Jackson,IND,"PG,SG",30.0,12.4,0.472,4.4,0.808,1.6,0.6,6.0,1.6,1.9,0.5,0.1,0.8,,332.0,-6.06
Aday Mara,OKC,C,44.0,13.1,0.563,3.7,0.575,1.5,0.0,5.1,2.8,1.0,0.1,1.1,0.8,122.0,333.0,-6.23
Carter Bryant,SA,SF,70.0,15.4,0.407,5.0,0.713,0.8,1.0,5.7,3.4,0.9,0.3,0.4,0.6,,334.0,-6.25
Noah Penda,ORL,SF,60.0,14.1,0.403,3.8,0.689,0.9,0.6,4.3,3.5,1.3,0.6,0.3,0.8,,335.0,-6.28
Mike Conley,BOS,PG,40.0,12.6,0.38,3.2,0.892,0.7,0.9,3.8,1.3,2.2,0.5,0.1,0.5,,336.0,-6.29
Bogdan Bogdanovic,HOU,"SG,SF",40.0,14.2,0.417,5.1,0.849,0.7,1.1,6.0,1.7,1.6,0.4,0.1,0.8,,337.0,-6.35
Josh Okogie,UTA,"SG,SF",60.0,14.1,0.434,3.6,0.676,1.1,0.7,4.6,2.3,0.7,0.8,0.2,0.5,,338.0,-6.36
Zeke Nnaji,DEN,"PF,C",50.0,12.5,0.482,3.0,0.689,0.9,0.3,3.8,2.3,0.5,0.4,0.6,0.4,,339.0,-6.43
Drake Powell,BKN,SG,60.0,18.2,0.403,5.0,0.897,1.1,0.7,5.7,1.6,1.3,0.5,0.2,0.8,,340.0,-6.45
Caris LeVert,MIL,"SG,SF",50.0,12.1,0.448,4.4,0.698,1.1,0.7,5.4,1.4,1.7,0.5,0.3,0.7,,341.0,-6.46
Sion James,CHA,"SG,SF",68.0,16.4,0.371,3.3,0.841,0.9,0.8,4.0,2.6,1.5,0.5,0.2,0.6,,342.0,-6.49
Oscar Tshiebwe,HOU,"PF,C",20.0,10.4,0.623,3.2,0.63,1.2,0.0,4.8,4.5,0.6,0.4,0.1,0.5,,343.0,-6.51
Tyrese Proctor,CLE,,50.0,11.1,0.413,4.6,0.882,0.9,1.0,5.6,1.3,1.5,0.5,0.0,0.8,,344.0,-6.58
Jaylen Clark,MIN,"SG,SF",67.0,14.1,0.447,3.5,0.705,1.1,0.6,4.4,1.8,0.7,0.8,0.1,0.3,,345.0,-6.6
DaRon Holmes II,DEN,"PF,C",40.0,10.4,0.507,3.1,0.786,0.7,1.0,4.7,1.8,0.8,0.1,0.3,0.6,,346.0,-6.61
Rob Dillingham,CHI,PG,60.0,14.9,0.41,6.3,0.704,0.7,0.7,6.4,1.8,2.4,0.7,0.1,1.6,,347.0,-6.62
Nate Ament,MIL,"SF,PF",50.0,17.4,0.398,5.4,0.788,3.1,0.6,7.3,2.8,1.0,0.4,0.3,1.0,123.0,348.0,-6.65
Christian Anderson,CHA,PG,68.0,14.9,0.445,3.8,0.808,1.0,0.9,5.1,1.0,2.0,0.4,0.1,0.9,,349.0,-6.66
Taurean Prince,DET,SF,30.0,12.8,0.454,3.3,0.84,0.3,1.0,4.2,1.7,0.9,0.4,0.1,0.5,,350.0,-6.7
Ryan Nembhard,ATL,PG,50.0,14.1,0.416,4.7,0.789,0.4,0.6,4.8,1.6,3.8,0.3,0.0,1.0,,351.0,-6.7
Mohamed Diawara,NY,,70.0,14.1,0.423,4.8,0.741,0.5,1.1,5.5,2.1,1.2,0.4,0.1,0.7,,352.0,-6.72
Bryce McGowens,NO,"PG,SG",44.0,14.4,0.47,4.0,0.783,1.6,0.6,5.6,1.5,1.0,0.5,0.1,0.3,,353.0,-6.72
Karim Lopez,MEM,"SF,PF",50.0,12.4,0.468,3.4,0.762,1.1,0.4,4.4,2.2,0.7,0.4,0.4,0.5,,354.0,-6.73
Marcus Sasser,DAL,PG,50.0,10.5,0.434,4.0,0.845,0.6,0.9,4.8,0.9,1.7,0.5,0.1,0.7,,355.0,-6.73
Larry Nance Jr.,IND,"PF,C",40.0,10.4,0.474,3.2,0.567,0.3,0.6,3.9,2.3,0.8,0.5,0.2,0.4,,356.0,-6.78
Labaron Philon Jr.,PHI,"PG,SG",50.0,12.1,0.469,4.6,0.801,1.8,0.7,6.5,1.1,1.5,0.4,0.1,0.7,,357.0,-6.79
